roundID,score,movesExec,movesConsid,runtime
942,29,262,412,0.000862125
943,42,448,742,0.00145675
944,35,265,407,0.00113496
945,38,326,505,0.00112546
946,28,233,346,0.0008185
947,37,379,622,0.00160558
948,29,217,362,0.000702709
949,38,349,480,0.00109346
950,40,338,527,0.00129371
951,22,175,228,0.0005925
952,36,420,731,0.00137521
953,16,125,181,0.000359375
954,28,224,355,0.000695375
955,44,403,648,0.00146142
956,32,269,428,0.000845916
957,20,133,179,0.000398167
958,32,278,372,0.000927042
959,26,233,312,0.000788625
960,31,278,452,0.000896
961,26,206,258,0.000606791
962,24,222,341,0.000662417
963,41,408,594,0.00149308
964,20,157,190,0.000493875
965,42,487,781,0.00158625
966,28,250,345,0.000867292
967,27,307,499,0.000850167
968,35,520,895,0.00162542
969,39,449,739,0.00153063
970,42,378,504,0.00134637
971,24,185,264,0.00057975
972,28,237,327,0.000755791
973,22,195,310,0.000530375
974,34,391,673,0.00154229
975,35,425,659,0.00140288
976,27,244,307,0.000726875
977,28,222,337,0.00079225
978,28,299,528,0.0008795
979,26,234,369,0.000695459
980,16,99,149,0.000325
981,29,278,388,0.00107008
982,19,141,233,0.000423167
983,18,171,219,0.000529625
984,28,258,505,0.000776042
985,25,204,289,0.000622916
986,34,292,424,0.000947916
987,26,237,334,0.000689292
988,51,532,902,0.00222558
989,28,282,416,0.000995375
990,25,253,429,0.000752
991,19,123,193,0.000367292
992,35,311,431,0.00120338
993,25,246,360,0.000676542
994,41,495,876,0.00165267
995,31,320,513,0.00108433
996,24,207,352,0.000639542
997,34,365,676,0.00130358
998,45,540,887,0.00182629
999,19,171,228,0.000533375
1000,29,281,396,0.000991917
1001,17,146,215,0.000438417
1002,29,247,355,0.000776959
1003,16,104,152,0.000347792
1004,32,293,425,0.00092125
1005,34,310,445,0.00105104
1006,33,325,548,0.00113383
1007,28,217,311,0.000722792
1008,36,394,635,0.00137767
1009,29,286,461,0.00093475
1010,37,397,590,0.00135187
1011,37,445,810,0.00145242
1012,28,229,305,0.000753209
1013,35,367,590,0.00119358
1014,22,165,214,0.000556084
1015,27,253,380,0.0008205
1016,30,299,486,0.000955166
1017,47,440,723,0.00162271
1018,40,339,479,0.00130217
1019,38,453,753,0.00159917
1020,20,147,196,0.00042225
1021,35,394,586,0.00124383
1022,40,451,788,0.001482
1023,25,191,255,0.000659875
1024,30,271,345,0.000913583
1025,20,151,243,0.000446167
1026,35,329,527,0.00123846
1027,35,324,515,0.00120363
1028,23,215,299,0.000720375
1029,46,457,745,0.00150467
1030,14,95,134,0.00026675
1031,20,196,290,0.000532333
1032,33,294,383,0.00102837
1033,40,452,765,0.00159229
1034,45,527,945,0.00183592
1035,32,395,790,0.001212
1036,32,299,439,0.00103
1037,25,229,309,0.000751083
1038,21,155,217,0.000473417
1039,38,355,494,0.00123608
